vin,start_time,end_time,org_soh,summileage,smooth_soh,filter_flag,cd_flag
vin123456789,2019/6/15 23:07,2019/6/16 2:54,0.817642643,8622,1.400545724,0,2
vin123456789,2019/6/19 22:00,2019/6/20 1:20,0.812124625,8779,1.400036963,0,2
vin123456789,2019/6/20 19:15,2019/6/20 22:14,0.799924925,8821,1.395091484,0,2
vin123456789,2019/6/21 21:58,2019/6/22 0:55,0.793018018,8860,1.395022721,0,2
vin123456789,2019/6/23 17:09,2019/6/23 20:40,0.84512012,9030,1.441187157,0,2
vin123456789,2019/6/29 16:15,2019/6/29 20:13,0.858633634,9211,1.454106226,0,2
vin123456789,2019/7/5 21:28,2019/7/6 1:05,0.864322656,9460,1.460068311,0,2
vin123456789,2019/7/6 11:10,2019/7/6 14:52,0.871171171,9523,1.466528716,0,2
vin123456789,2019/7/7 22:02,2019/7/8 1:25,0.862124625,9643,1.460435298,0,2
vin123456789,2019/7/10 22:06,2019/7/11 1:51,0.874249249,9759,1.471191457,0,2
vin123456789,2019/7/13 22:05,2019/7/14 1:28,0.864864865,9974,1.464715073,0,2
vin123456789,2019/7/14 22:05,2019/7/15 2:01,0.877965465,10051,1.476049767,0,2
vin123456789,2019/7/15 22:00,2019/7/16 1:24,0.868355856,10103,1.469143945,0,2
vin123456789,2019/7/18 22:06,2019/7/19 1:59,0.884159159,10221,1.482282446,0,2
vin123456789,2019/7/20 22:18,2019/7/21 2:33,0.883708709,10402,1.481837211,0,2
vin123456789,2019/7/24 22:04,2019/7/25 1:55,0.890990991,10543,1.487272936,0,2
vin123456789,2019/7/26 22:10,2019/7/27 2:10,0.89710961,10635,1.491224598,0,2
vin123456789,2019/7/28 22:50,2019/7/29 2:45,0.890315315,10779,1.484820636,0,2
vin123456789,2019/7/29 21:55,2019/7/30 2:10,0.881906907,10859,1.477648306,0,2
vin123456789,2019/8/1 22:18,2019/8/2 2:28,0.880255255,11005,1.476191813,0,2
vin123456789,2019/8/3 22:03,2019/8/4 2:09,0.882357357,11099,1.477684789,0,2
